,time,x,y,z
753,0.18825,-113.75714,6.925946,21.57463
754,0.1885,-121.60246,3.003286,5.88399
755,0.18875,-151.02241,19.674591,-31.38128
756,0.189,-159.848395,48.113876,-51.975245
757,0.18925,-150.041745,22.616586,-72.56921
758,0.1895,-181.423025,38.307226,-49.03325
759,0.18975,-188.28768,26.539246,-12.748645
760,0.19,-207.90098,21.635921,-24.516625
761,0.19025,-205.93965,11.829271,-19.6133
762,0.1905,-181.423025,11.829271,-13.72931
763,0.19075,-210.842975,22.616586,-21.57463
764,0.191,-231.43694,8.887276,0.980665
765,0.19125,-240.262925,20.655256,-7.84532
766,0.1915,-235.3596,30.461906,-7.84532
767,0.19175,-244.185585,24.577916,-11.76798
768,0.192,-253.01157,35.365231,-36.284605
769,0.19225,-253.992235,35.365231,-58.8399
770,0.1925,-233.39827,45.171881,-54.91724
771,0.19275,-274.5862,30.461906,-57.859235
772,0.193,-269.682875,27.519911,-26.477955
773,0.19325,-279.489525,53.997866,-28.439285
774,0.1935,-283.412185,24.577916,-1.9613300000000002
775,0.19375,-255.953565,38.307226,34.323275
776,0.194,-253.01157,45.171881,32.361945
777,0.19425,-213.78497,6.925946,43.14926
778,0.1945,-256.93423,21.635921,32.361945
779,0.19475,-223.59162,-4.842033,48.052585
780,0.195,-261.837555,26.539246,-5.88399
781,0.19525,-256.93423,6.925946,5.88399
782,0.1955,-215.7463,58.901191,-31.38128
783,0.19575,-232.417605,26.539246,-25.49729
784,0.196,-230.456275,54.978531,-26.477955
785,0.19625,-222.610955,43.210551,-7.84532
786,0.1965,-214.765635,20.655256,-12.748645
787,0.19675,-185.345685,25.558581,26.477955
788,0.197,-164.75172,19.674591,25.49729
789,0.19725,-168.67438,13.790601,27.45862
790,0.1975,-147.09975,11.829271,49.03325
791,0.19775,-159.848395,37.326561,16.671305
792,0.198,-135.33177,15.751931,10.787315
793,0.19825,-134.351105,29.481241,-8.825985
794,0.1985,-95.124505,10.848606,8.825985
795,0.19875,-103.95049,19.674591,-7.84532
796,0.199,-100.02783,-18.571343,19.6133
797,0.19925,-55.897905,15.751931,4.903325
798,0.1995,-73.549875,-9.745358,-6.864655
799,0.19975,-49.03325,14.771266,1.9613300000000002
800,0.2,-52.95591,32.423236,-14.709975
801,0.20025,12.748645,40.268556,-43.14926
802,0.2005,9.80665,7.906611,-32.361945
803,0.20075,14.709975,26.539246,-16.671305
804,0.201,16.671305,9.867941,-22.555295
805,0.20125,34.323275,-33.281318,20.593965
806,0.2015,65.704555,-5.822698,18.632635
807,0.20175,84.33719,-7.784028,58.8399
808,0.202,86.29852,2.022621,39.2266
809,0.20225,104.931155,-23.474668,20.593965
810,0.2025,102.969825,6.925946,20.593965
811,0.20275,103.95049,-17.590678,7.84532
812,0.203,111.79581,-28.377993,-4.903325
813,0.20325,123.56379,29.481241,-30.400615
814,0.2035,167.693715,-10.726023,-7.84532
815,0.20375,73.549875,21.635921,-5.88399
